,ID,Progress,Duration (in seconds),Finished,RecordedDate,UserLanguage,What category does a majority of your clientele (coaching) fall under? ,How long have you been coaching?,"Do you coach clients that are natural, enhanced, or both?","After completion of a caloric deficit (fat loss phase) in your natural athletes, do you purposely increase calories for your clients?�","In your natural athletes, do you utilize what you would consider is a ""reverse dieting"" approach?","When implementing a reverse diet for natural clients, do you primarily focus on manipulating specific macronutrients or general caloric intake?","Does your clientele consist of primarily men, women, or both?�","After a caloric deficit for a natural 100kg male utilizing a reverse dieting strategy, on average, what is your daily caloric increase?","After a caloric deficit for a natural 60kg female utilizing a reverse dieting strategy, on average, what is your daily caloric increase?","After a caloric deficit for a natural 100kg male utilizing a reverse dieting strategy, on average, what is your daily total macronutrient (PRO + CHO+ FAT) increase?","After a caloric deficit for a natural 60kg female utilizing a reverse dieting strategy, on average, what is your daily total macronutrient (PRO + CHO+ FAT) increase?",How many weeks on average do your natural clients spend reverse dieting?,"If you prescribed a natural client (x) amount of cardio and/or step count during the caloric deficit (fat loss phase), how do you adjust cardio/step count once the fat loss phase is completed?�","If your clients have ever experienced a negative effect from reverse dieting please explain. (e.g. adherence, body fat levels, hormonal factors, etc.)�",Why do you implement a reverse dieting strategy after a caloric deficit (fat loss phase) as opposed to another approach?,"By selecting �yes� I understand my responses, while remaining anonymous, IP address information is collected in order to prevent duplicate survey responses, and will be used for research analysis.",,,,
,ID63,100,1347,TRUE,12/27/2023 9:24,EN,Lifestyle/General population,5-8 years,I only coach natural athletes,Yes,Yes,I focus on Macronutrients,I coach Both,"I'll give them a refeed day after completion of deficit, than i increase 100 to 150 calories per week until they reach maintanence calories, after reaching maintenance calories I'll proceed according to clients nxt goal ",,"I'll bring down protien to 1gm per pound of bodyweight and increase carb,  until 4 gms per pound of bodyweight ",Will bring protien to 0.75gms to .9 gms per pound nd carbs 3 gms per pound of bodyweight ,"6 to 8 weeks, I don't increase calories rapidly unless client wants to",Decrease,Most of the clients wants to increase calories rapidly nd in some cases they gain fat ,"After reaching fatloss goal most of the clients wants to start gaining immediately, to prevent overeating in the name gaining i repefer keep them on reverse dieting for few weeks ",Yes,,,,
,ID64,100,438,TRUE,1/24/2024 16:28,EN,Lifestyle/General population,2-4 years,I coach both,Yes,Yes,I focus on Calories,I only coach Women,,,,,"Try to reverse for at least as long as they diet, but many women struggle more with reverse than diet itself ",Decrease,Slight weight and fat as long as they stick to protocols. ,"I reverse by slowly increasing calories approx 150-200 calories a week (on average and depending on client), until they are min at maintenance calories but longer if they agree",Yes,,,,
,ID65,100,387,TRUE,1/24/2024 11:19,EN,Lifestyle/General population,5-8 years,I only coach natural athletes,Yes,Yes,I focus on Macronutrients,I coach Both,200,,Adding 50+ grams of carbohydrates,Adding in 25 grams of carbohydrates and 10 grams of fats,6-8 weeks,Decrease,"Adherence - sometimes at the end of a hard dieting phase, some tend to want to reduce intensity of dieting via no longer tracking or following a protocol","To minimize the amount of body fat gain, maintain and or build more muscle, and increase calories",Yes,,,,
,ID66,11,71,FALSE,1/10/2024 8:35,EN,,,,,,,,,,,,,,,,,,,,
,ID67,100,365,TRUE,12/25/2023 13:42,EN,Lifestyle/General population,>8 years,I only coach natural athletes,Yes,Yes,I focus on Macronutrients,I coach Both,100-200,,carbs increase by 50-75g daily over next 7 days ,carbs increase by 50-100g daily for next 7 days ,however long dieting phase was ,Decrease,"adherence, body fat levels ",strategically just makes sense ,Yes,,,,
,ID68,100,52,TRUE,1/12/2024 7:30,EN,Lifestyle/General population,>8 years,I coach both,Yes,No,,,,,,,,,,,,,,,
,ID69,50,40,FALSE,1/19/2024 7:31,EN,Lifestyle/General population,>8 years,I coach both,Yes,Yes,I focus on Calories,I coach Both,,,,,,,,,,,,,
,ID70,100,2963,TRUE,1/28/2024 14:12,EN,Lifestyle/General population,>8 years,I coach both,Yes,Yes,I focus on Macronutrients,I coach Both,400,,"Protein would have been set to optimal in the fat-loss phase. Therefore, The primary focus in the initial bump would primarily be CHO, with a secondary focus on fats. Trace protein would also increase based on the carb sources. (IE: Jasmine rice) Therefore, the true macro increase would probably be 70g CHO, 15g Pro, 9g Fats.","Normally, I would start with an approx 20% calorie increase, however in this particular approx  example I would be more aggressive and add a minimum of 30% or 300kcal perhaps even higher and more of a ""Recovery Diet"" depending on labs if avail./subjective biofeedback. Rational : 1,000 calories is very low and I am making the assumption that this client would be experiencing significant metabolic adaptations, hormonal imbalances and reporting poor subjective biofeedback markers. I would prescribe approx 40g of CHO (a little over 50% of kcal increase) approx 13g of fats (40% of kcal increase) and 5g of protein from trace sources found in CHO (10% of kcal increase.) Note: The increased ratio of fats in the case is for sex hormone function. Also, If the diet ended at 1,500 calories I would use a slightly less aggressive increase in calories, probably 20% instead of 30%.  ",16-Dec,Decrease,"The results are almost always positive in terms of hormonal factors, strength, sleep quality, energy, recovery, motivation to train, libido. However, adherence has been an issue with some clients where they have a difficult time adhering to new increased calorie targets, even if they are significant. This is more prominent when the client is in a fat-loss phase for a major event or milestone like wedding, tropical vacation etc. They no longer have the overarching goal to focus on and therefore commitment levels are not as strong.  ","  My objective is always to achieve sustainable results. We know that dieting works in the short term, but long-term fat-loss statistics are grim. I educate my clients on the weight loss/weight regain statistics and the metabolic and hormonal adaptations that occur in the fat-loss phase. Our goal is to reverse those adaptations and improve subjective biofeedback so they feel better and can enjoy a larger calorie budget and a more flexible lifestyle.  A reverse diet over 3-6 weeks is a more conservative approach of increasing calories that many clients feel more comfortable with psychologically compared to going directly to theoretical maintenance or into a calorie surplus. They’ve worked hard to obtain a lean physique and the reverse diet approach often maintains a lean body composition and because metabolic adaptation works in both directions, we can usually increase their maintenance calories beyond what they were at the start of a fat-loss phase if we titrate the calories upwards incrementally.",Yes,,,,
,ID71,100,1104,TRUE,1/30/2024 10:58,EN,Lifestyle/General population,5-8 years,I only coach natural athletes,Yes,Yes,I focus on Macronutrients,I coach Both,"I would increase calories mainly coming from carbohydrates (to help with cortisol levels and Leptin/Ghrelin, and energy). I would increase calories over a period of 3-8 weeks working our way up to maintenance as quickly as possible while ensuring the weight stays within 5lbs of his new low body weight. Since this client is on a very low end of calories I would do a 15-20% increase. I would add an addition 300-350 calories the first seven days mainly coming from carbohydrates during the first week of his reverse.",,"For this client, his protein intake should already be around 1 gram per pound of body weight so, I would keep his protein intake the same (220g of protein 880 calories), I would have probably had his fats at 25% of his caloric intake (500 calories and 55G), with the remainder coming from carbs (620 calories and 155g carbs) for a 2000 caloric deficit. For his increase, I would initially add an extra 300 calories bumping up mainly carbs - total calories 2,300 for the first week - 220g P 880 calories, I would bump carbs up to 220g daily 880 calories, and bump fats to ,60g 540 calories ","This is an extreme deficit so I may take a more vigorous approach adding in 40% more calories to put this client at 1,400 calories for the first week of her reverse.",I typically spend 3 to 8 weeks with my clients in a reverse diet depending on the extremities of their fat loss. ,Decrease,"I've only ever seen positive changes in a reverse diet with my clients - typically energy levels go up, hunger hormones become more stabilized, sleep imrpoves, and strength and workout performance improves. The only time I've seen negative effects is when they client has not been consistent in a reverse. ",The only time I havent implement a reverse diet is when a client has not yet reached their fat loss goals but has been dieting for extended periods of time. This is where I would implement a 1 to 2 week diet break. Reverse dieting is crucial to ensure the client keeps the weight off long term after they've achieved their fat loss goals. ,Yes,,,,
,ID72,50,165,FALSE,2/5/2024 18:29,EN,Lifestyle/General population,5-8 years,I only coach natural athletes,Yes,Yes,I focus on Macronutrients,I coach Both,,,,,,,,,,,,,
,ID73,100,248,TRUE,1/30/2024 17:23,EN,Lifestyle/General population,5-8 years,I only coach natural athletes,Yes,Yes,I focus on Calories,I only coach Women,,,,,8 weeks,Decrease,adherence can be difficult,"to restore metabolism, mitigate metabolic adaptation, boost metabolic capacity, improve biofeedback (sleep, energy, etc)",Yes,,,,
,ID74,100,613,TRUE,1/29/2024 19:45,EN,Lifestyle/General population,2-4 years,I only coach natural athletes,Yes,Yes,I focus on Calories,I only coach Women,,,,,6-8 weeks,Decrease,sometimes lack of adherence which would make them gain body fat faster. ,"to prevent rapid fat gain and matabolic adaptations. After a period of caloric deficits, hormones related to hunger and satiety might be affected, metabolism might slow down. Reverse diet will allow metabolism to adjust and promote a more sustainable transition to maintnance. Reverse diet minimizes the risk of significant fat accumulation while giving the metabolism time to adapt. This approach will help maintain the hard earned fat loss and avoid the pit-falls of returning to old habits. Its for long term weight maintenance.  ",Yes,,,,
,ID75,56,1563,FALSE,1/9/2024 9:58,EN,Lifestyle/General population,>8 years,I coach both,Yes,Yes,I focus on Macronutrients,I coach Both,100-200 Cals per day. ,,,,,,,,,,,,
,ID76,100,57,TRUE,1/24/2024 6:13,EN,Lifestyle/General population,2-4 years,I only coach natural athletes,Yes,No,,,,,,,,,,,,,,,
,ID77,100,279,TRUE,12/22/2023 17:32,EN,"Strength Athletes (powerlifting, strongman, weightlifting)",2-4 years,I coach both,Yes,Yes,I focus on Macronutrients,I only coach Women,,,,"Initially 15-20g of carbs, 5g. Fat, 10-15g protein ",6-8 weeks ,Decrease,N/a,"To control fat gain, optimize hormones and caloric intake during window after cutting phase. Prime time to get calories at ideal level, and ensure increased health markers",Yes,,,,
,ID78,100,518,TRUE,1/27/2024 9:45,EN,Lifestyle/General population,5-8 years,I coach both,Yes,Yes,I focus on Macronutrients,I coach Both,250-400 calories a week ,,50-100g carbs a week increase ,25-50g carbs a week increase ,4-8 weeks ,Decrease,No negative side effects. Hunger increases as expected ,Being in a deficit for an extended amount of time will slow down the body’s ability to process calories. Slow and steady increase in calories allows for the metabolism to adjust more efficiently and reduce unwanted body fat accruement ,Yes,,,,
,ID79,11,25,FALSE,1/30/2024 14:17,EN,,,,,,,,,,,,,,,,,,,,
,ID80,100,434,TRUE,12/22/2023 16:35,EN,Competitive physique athletes,5-8 years,I coach both,Yes,Yes,I focus on Macronutrients,I coach Both,I would look for a 20% increase over the course first week. ,,I’d add in only carbs first to contribute to performance. I would add in 100 carbs for the first week. An avg of 14 carbs per day for 7 days.,I’d add in 200 calories/20% increase for the first week… about 29 calories per day on AVG,6-10 weeks.. likely around 8 until there is a healthy stabilization of the metabolism ,Decrease,"For lifestyle clients, rarely. For competitive athletes it is too often even after educating the important of nutritional adherence post show",To minimize fat gain and maximize performance post fat loss phase.,Yes,,,,
,ID81,100,297,TRUE,1/24/2024 19:06,EN,Lifestyle/General population,2-4 years,I only coach natural athletes,Yes,Yes,I focus on Calories,I only coach Women,,,,,10-Jun,No change,Minor fat increase,To slowly and easily return to maitananxe or to get a client out  of an extreme diet they were on prior to training. It’s slow and easy to monitor and adjust to,Yes,,,,
,ID82,100,1119,TRUE,12/27/2023 17:47,EN,Lifestyle/General population,5-8 years,I only coach natural athletes,Yes,Yes,I focus on Macronutrients,I coach Both,200,,"Increase carbs by about 10%, fat by about 5% weekly","Increase carbs by about 10%, fat by about 5% weekly",8,No change,Adherence is a challenge ,Preserve metabolism ,Yes,,,,
,ID83,100,1097,TRUE,12/22/2023 12:56,EN,Lifestyle/General population,5-8 years,I only coach natural athletes,Yes,Yes,I focus on Macronutrients,I coach Both,"Typically I increase in week increments- and it largely depends on historical data/ how carb sensitive the client is. It also depends on how the body responds to caloric increase. But for the example, I would say 50-100 calories per day. ",,5 carbs 2.5 fat 2 protein,"3 carb, 1 fat 1 protein- again, this is with the mindset of slowly increasing calories over several weeks- not daily, this is not how I approach reverse dieting ",8-12 weeks so on average 10,Decrease,None,"Helps the client stay lean while increasing calories, promotes healthy fat gain, prevents a rapid increase in food and thus digestive issues resulting from sudden influx, helps the client slowly get back into a “normal” eating pattern. ",Yes,,,,
,ID84,100,128,TRUE,12/22/2023 14:20,EN,Lifestyle/General population,2-4 years,I only coach natural athletes,Yes,No,,,,,,,,,,,,,,,
,ID85,100,702,TRUE,12/25/2023 8:50,EN,Lifestyle/General population,5-8 years,I only coach natural athletes,Yes,Yes,I focus on Calories,I coach Both,50 kcal per day,,10-15 g of CHO,10-15 g of CHO,8-12 before maintenance,Decrease,"Usually they feel improvement in energy levels and hormone measurements, sometimes they don't even increase body fat level more than 1% on the end of the reverse diet despite kcal increment","To increase maintenance level after it drops during deficit phase, and to create opportunity for the new gains in muscle growth",Yes,,,,
,ID86,100,288,TRUE,1/29/2024 18:28,EN,Lifestyle/General population,2-4 years,I only coach natural athletes,Yes,Yes,I focus on Calories,I coach Both,"100-200/week until we notice scale maintenance, improved biofeedback and hormone profile, etc",,"100-200 calories from primarily carbs weekly unless we run into issues with digestion, adherence etc",100 calories a week from a mix of carbs and fats as fats are obviously going to be critically low here,4,Decrease,body fat increase if the reverse is too aggressive,"reduces risk of fat regain, optimizes hormones, allows for a slow adjustment of appetite",Yes,,,,
,ID87,100,881,TRUE,1/15/2024 23:52,EN,Lifestyle/General population,<2 years,I only coach natural athletes,Yes,Yes,I focus on Calories,I coach Both,50,,Increase 50kcal worth of carbs first for energy tends to be most enjoyable,50,Very short (6 weeks after using my recommended calorie deficit) unless they are extreme dieters after using an unsustainable approach to fat loss before coming to me. It depends on their starting point. I teach them how to reverse diet until they are comfortable to go off on their own and continued doing it on their own very very slowly ,No change,Mostly emotional. Guilt around food. This is most common in clients who have extreme dieted before coming to me as I don’t assign large calorie deficits. The guilt wears off after a while when they see progress in the gym and their physique actually improves ,"For small calorie deficits, I don’t. I may continue coaching clients while they’re at maintenance calories if they ask. I only implement a reverse diet if the calorie deficit is greater than 20% ",Yes,,,,
,ID88,100,238,TRUE,1/24/2024 13:45,EN,"Team sports/ Athletic performance (football,swimming,combat sports)",>8 years,I coach both,No,,,,,,,,,,,,,,,,
,ID89,100,114,TRUE,1/25/2024 11:53,EN,Lifestyle/General population,>8 years,I only coach natural athletes,Yes,No,,,,,,,,,,,,,,,
,ID90,100,51,TRUE,1/25/2024 16:39,EN,Lifestyle/General population,>8 years,I only coach natural athletes,Yes,No,,,,,,,,,,,,,,,
,ID91,100,702,TRUE,1/24/2024 6:22,EN,Competitive physique athletes,>8 years,I only coach natural athletes,Yes,Yes,I focus on Calories,I coach Both,"If stage lean probably 600-800, if at a sustainable body composition 300-400ish, if struggling with consistency at the end of prep possibly more in the interest of consistency ",,"If increasing 500-800 cal for someone stage lean probably 100g or more increase in carbs, 10g or more increasee in fat and minimal protein changes",If stage lean and bumping around 500-600 cal probably close to 100g carbs and 10ish grams fat with minimal protein changes,My goal is to get them feeling better coming off a show within 6-8 weeks but I would keep pushing food through their entire offseason as much as possible while staying at a reasonable offseason body composition ,Decrease,If adherance is low coming off a show I typically push food faster in the interest of consistency. Staying consistent with higher food usually results in less rapid gain than aiming for low targets and being inconsistent.,I think there needs to be a middle ground. Gaining everything back quickly isnt ideal but gaining nothing back isnt ideal either. I like to see a 1-2lb gain the first 6-8 weeks coming off of a show to get them feeling better then slow things down from there.,Yes,,,,
,ID92,100,632,TRUE,1/2/2024 18:44,EN,Lifestyle/General population,5-8 years,I only coach natural athletes,Yes,Yes,I focus on Macronutrients,I coach Both,50,,Very much depends on their stats. I’d probably keep their protein the same and raid CHO by maybe 5-10 and fat 3-5,It very much depends. Protein would remain the same. Will probably add ~5 carbs and 3-5 fat,12-Apr,Decrease,Hunger is most affected. ,"makes the transition smoother, easier on digestion, helpful with maintaining routine and habits set ",Yes,,,,
,ID93,56,1005,FALSE,1/1/2024 7:54,EN,Competitive physique athletes,>8 years,I only coach natural athletes,Yes,Yes,I focus on Macronutrients,I coach Both,~ 30 kcal per day,,,,,,,,,,,,
,ID94,100,695,TRUE,1/24/2024 16:13,EN,Lifestyle/General population,5-8 years,I only coach natural athletes,Yes,Yes,I focus on Macronutrients,I coach Both,"Depends on length of deficit, how much weight was lost, biofeedback of the client and how 2000 calories compares to his estimated TDEE. Generally, I would bump at least 50% up between the 2k calories and estimated TDEE to start.",,No protein since it should be in a sufficient place still. Typically a higher % carb increase than fats but would increase both initially - about 60-70% carbs and 30-40% fats to fill the added calories.,Same as above: No protein since it should be in a sufficient place still. Typically a higher % carb increase than fats but would increase both initially - about 60-70% carbs and 30-40% fats to fill the added calories.,4-8 weeks,Decrease,Adherence can suffer since adding food can be daunting for certain clients who are afraid to gain body fat back. I will take a slightly slower approach with adding food and ensure I'm educating them on the importance of getting back to a maintenance intake.,Taking a more gradual approach compared to a recovery diet tends to support adherence better for gen pop clients. It's rare for a gen pop client to get so lean that they would require a recovery diet or need to gain body fat back after a deficit.,Yes,,,,
,ID95,11,19,FALSE,1/5/2024 12:34,EN,,,,,,,,,,,,,,,,,,,,
,ID96,56,290,FALSE,1/30/2024 18:56,EN,Lifestyle/General population,2-4 years,I only coach natural athletes,Yes,Yes,I focus on Calories,I coach Both,2.8-5.7 kcal per day,,,,,,,,,,,,
,ID97,100,131,TRUE,12/28/2023 12:34,EN,Lifestyle/General population,<2 years,I only coach natural athletes,No,,,,,,,,,,,,,,,,
,ID98,100,63,TRUE,1/24/2024 16:32,EN,Lifestyle/General population,<2 years,I only coach natural athletes,Yes,No,,,,,,,,,,,,,,,
,ID99,50,197,FALSE,1/18/2024 16:46,EN,Lifestyle/General population,5-8 years,I only coach natural athletes,Yes,Yes,I focus on Calories,I coach Both,,,,,,,,,,,,,
,ID100,100,470,TRUE,1/7/2024 22:28,EN,Competitive physique athletes,5-8 years,I coach both,Yes,Yes,I focus on Macronutrients,I only coach Men,,,Push up carbs by around 50-80g allow the body to fluctuate as the weight comes down back to where it was at feed up accordingly ,,3-5 weeks ,Decrease,Only thing ever had been increased hunger levels as adherence becomes an issue post fatloss phase which I have found ways past by pre planning and explaining to clients what to expect ,"Because during a reverse diet I can raise up their baseline of food intake, and still burn bodyfat during that process typically as well I’ve found anecdotally by reversing dietting bodyfat distribution changes as well ",Yes,,,,
,ID101,100,50,TRUE,12/28/2023 8:24,EN,Lifestyle/General population,2-4 years,I coach both,Yes,No,,,,,,,,,,,,,,,
,ID102,100,1385,TRUE,12/27/2023 6:11,EN,Lifestyle/General population,5-8 years,I only coach natural athletes,Yes,Yes,I focus on Calories,I coach Both,200-250 Slowly adding calories and readjust after two weeks,,Keep protein where it is at and then increase carbs by 40grams and fats by by 15 grams. Would then reassess after 2 weeks,"I would increase calories slowly by adding 25 grams of carbs and 10 grams of fat per day for two weeks, then reassess.",between 4-8 weeks depending on compliance and progress ,Decrease,"The psychological effect has been the biggest obstacles. When my client lose weight and get to the goal, they get nervous to increase their calories because they believe they will gain all their weight back. This is when coaching needs to be very supportive and once you build trust with your client it helps. Bloating does occur at times so I will adjust their meal plan to incorporate more foods to reduces bloating. ","It helps prevent your metabolism from slowing down, which often happens during calorie restriction. By gradually increasing calories, you signal to your body that it's not in a prolonged scarcity mode.  Also, it helps in maintaining your muscle mass. Rapidly jumping back to your pre-diet calorie levels can lead to muscle loss. Slowly adding calories gives your body the resources it needs for recovery and growth.  Lastly, it's a sustainable approach. Quick fixes may give short-term results, but they're rarely maintainable. Reversing diet allows for a smoother transition, making it more likely for your clients to stick with their healthier habits for the long haul.",Yes,,,,
,ID103,56,204,FALSE,1/2/2024 15:59,EN,Lifestyle/General population,5-8 years,I only coach natural athletes,Yes,Yes,I focus on Macronutrients,I coach Both,200,,,,,,,,,,,,
,ID104,50,100,FALSE,1/31/2024 6:56,EN,Lifestyle/General population,>8 years,I only coach natural athletes,Yes,Yes,I focus on Calories,I coach Both,,,,,,,,,,,,,
,ID105,100,602,TRUE,12/22/2023 9:27,EN,Lifestyle/General population,2-4 years,I coach both,Yes,Yes,I focus on Macronutrients,I coach Both,I would take him to 2400-2600 per day for the first week. ,,"This depends on what previous “maintenance” macros were.. for instance, if client was on a higher carb percentage, I would not take him to a lower carb percent. Each client’s macro ratios are custom to them and their tolerance in prep and post show. ",Same answer and previous. Both for male and female. ,Until we reach maintenance. There is no stock answer here. Some will reach maintenance quickly. Some require more free meals mentally than others. ,Decrease,"The only negative affects come when a client doesn’t adhere to the reverse. If a client has been in prep for a long time very restricted, they will tend to not adhere. Binging and rapid fat loss can severely mess with hormones and overall mental health. ",Because it allows the body to adjust at an appropriate pace… physically and hormonally. ,Yes,,,,
,ID106,100,720,TRUE,1/24/2024 11:00,EN,Competitive physique athletes,<2 years,I coach both,Yes,Yes,I focus on Macronutrients,I only coach Women,,,,"if the diet ended at 1000 cals, I would keep protein the same, add 60-70% more carbs and 30-40% more fats for the week, give or take some depending on feedback from the athlete. This would not be a daily increase, but a weekly increase.  ",10-Jun,Decrease,"adherence. Even if calories are adjusted faster (brought up faster,) I still have issues with adherence. ","I want the athlete to get the nutrients they need, but also to maintain a good relationship with food AND be able to eat the food I give them. I do not want to overstuff them too quickly by raising calories too quickly. ",Yes,,,,
,ID107,100,586,TRUE,12/25/2023 19:17,EN,Lifestyle/General population,2-4 years,I only coach natural athletes,Yes,Yes,I focus on Macronutrients,I coach Both,100,,"10g protein, 7g carbs, 4g fat","10g protein, 7g carbs, 4g fat",12-Aug,No change,"Adherence, results not reached, unrealistic expectations ",It works and makes sense scientifically ,Yes,,,,
,ID108,100,174,TRUE,1/25/2024 9:40,EN,Lifestyle/General population,5-8 years,I only coach natural athletes,Yes,Yes,I focus on Calories,I only coach Women,,,,,6,No change,No,To reduce the chances of immediate weight gain,Yes,,,,
,ID109,100,158,TRUE,1/4/2024 9:26,EN,Lifestyle/General population,2-4 years,I only coach natural athletes,Yes,Yes,I focus on Calories,I only coach Women,,,,,12-Jun,No change,None,Clients seem more comfortable gradually increasing rather than all at once,Yes,,,,
,ID110,100,350,TRUE,1/29/2024 21:32,EN,Lifestyle/General population,2-4 years,I only coach natural athletes,Yes,Yes,I focus on Calories,I only coach Women,,,,,8,Decrease,Adherence ,In order to help prevent weight (body fat) regain after fat loss ,Yes,,,,
,ID111,72,5716,FALSE,2/5/2024 21:25,EN,Lifestyle/General population,2-4 years,I only coach natural athletes,Yes,Yes,I focus on Macronutrients,I only coach Women,,,,,,,,,,,,,
,ID112,100,630,TRUE,1/16/2024 9:35,EN,Lifestyle/General population,<2 years,I only coach natural athletes,Yes,Yes,I focus on Macronutrients,I coach Both,50,,"Protein is kept the same, carbs increase 6g each day and fats 3g ",Protein is kept the same and carbs increase 4g each day and fats increase 2g ,8 weeks ,Decrease,"Adherence mostly, some overshoot the reverse macros/calories","I implement a reverse if they aren’t having significant negative biofeedback indicators like poor sleep, HRV, RHR, hormonal dysfunction, etc.  I otherwise utilize what I call a recovery diet straight back to estimated maintenance. ",Yes,,,,
,ID113,100,673,TRUE,1/29/2024 14:25,EN,Lifestyle/General population,2-4 years,I only coach natural athletes,Yes,Yes,I focus on Macronutrients,I coach Both,100-200 calories/day for (x) days then capping at (x) amount based on TDEE,,For certain clients I use percentages but typically 20-30 macro (grams) total,Very few people should be below 1500 calories/day,6-12weeks,No change,"Adherence, and comfortability. “Light at the end of the tunnel.” - Bill Campbelll",Gives them something to look forward to after the fat loss phase,Yes,,,,
,ID114,100,289,TRUE,1/23/2024 18:34,EN,Lifestyle/General population,2-4 years,I only coach natural athletes,Yes,Yes,I focus on Calories,I coach Both,150,,Protein 10g per 150 kcal ,"100 kcal, 5g protein. ",20,Decrease,Increase in body fat. Quick fat gain ,I want my clients to be able to look and feel their best but also eat as much as possible to maintain weightless ,Yes,,,,
,ID115,100,757,TRUE,12/25/2023 18:45,EN,Lifestyle/General population,<2 years,I only coach natural athletes,Yes,Yes,I focus on Macronutrients,I coach Both,200,,25g protein and 25g carbs,10g protein and 10g carbs,12,Decrease,None,Minimizes body fat regain,Yes,,,,
,ID116,100,369,TRUE,12/27/2023 13:35,EN,Lifestyle/General population,>8 years,I coach both,Yes,Yes,I focus on Macronutrients,I coach Both,150,,50 grams,50 grams,8,Decrease,None of the above,From my experience it helps mitigate fat gain and aids with a clients fear of gaining too much weight back,Yes,,,,
,ID117,100,531,TRUE,12/26/2023 18:49,EN,Lifestyle/General population,5-8 years,I only coach natural athletes,Yes,Yes,I focus on Macronutrients,I coach Both,"Depends on the mental state of the person, how long they’ve been dieting, hunger levels/biofeedback signs etc. I can’t give an exact number as it depends on the individual. ",,With how I do things… protein stays the same and carbs get increased first and sometimes it’s carbs and fats,Same answer as above and as the previous answer before that. Depends on the individual. Some it’s a small increase and some it’s straight to estimated current maintenance ,8-12 weeks,Decrease,No other than some who have been dieting for a long time and are food focused or mentally fatigued can have a hard time adhering this putting themselves in a calorie surplus. These Iindividuals I found need a much larger increase so I try to get them to a top safe range for the initial increase,To ease the mind and body into eating more food. I find clients are mentally happy with this and it helps having a exit strategy to the diet,Yes,,,,
,ID118,100,491,TRUE,12/22/2023 10:43,EN,Competitive physique athletes,2-4 years,I coach both,Yes,Yes,I focus on Macronutrients,I coach Both,15-20,,Around 20-25g carbs and 5g fat WEEKLY (not daily),Around 10-15g carbs and 5g fat WEEKLY (not daily),12-Aug,Decrease,Occasionally adherence to the protocol post competition ,"I don’t always implement a reverse diet, but for the clients that I feel are suitable for a reverse diet, it is generally to reduce the amount of body fat gain transitioning from a deficit to maintenance calories.",Yes,,,,
,ID119,100,230,TRUE,12/21/2023 8:30,EN,Lifestyle/General population,>8 years,I only coach natural athletes,Yes,Yes,I focus on Macronutrients,I only coach Women,,,,100,12,Decrease,No negative effects ,"The body seems to respond better to this, as well as hormones, and it’s easier for them mentally to increase slowly ",Yes,,,,
,ID120,100,305,TRUE,1/4/2024 15:05,EN,Competitive physique athletes,2-4 years,I coach both,Yes,Yes,I focus on Macronutrients,I coach Both,It depends on the athlete and their metabolism. ,,It depends on the athlete. ,It depends on the athlete.,6-Apr,Decrease,Adherence due to hormonal factors resulting in faster body fat gain.,To limit body fat gain.,Yes,,,,
,ID121,100,1057,TRUE,12/22/2023 18:55,EN,Lifestyle/General population,2-4 years,I only coach natural athletes,Yes,Yes,I focus on Macronutrients,I coach Both,'+50-150 cal.. 5% approach to be more conservative and track results consistently,,2-3% increase primarily focused on carbs + fats 1-2% protein,"2-2.7% increase C+F, 1.3-2% increase P",Depends typically 6-12,Decrease,horomonal imbalances.. woman primarily.. some had positive experiences (able to naturally conceive) + negative (affected clients w/ PCOS sx.),"To manipulate ones metabolism and guarantee, minimal fat gain when returning to a maintenance stage/sustainable lifestyle.",Yes,,,,
,ID122,28,30,FALSE,12/29/2023 15:28,EN,"Team sports/ Athletic performance (football,swimming,combat sports)",2-4 years,I only coach natural athletes,,,,,,,,,,,,,,,,,
,ID123,56,151,FALSE,12/29/2023 15:31,EN,"Team sports/ Athletic performance (football,swimming,combat sports)",2-4 years,I only coach natural athletes,Yes,Yes,I focus on Calories,I coach Both,Depends on their weight cut but anywhere from 300-600 calories,,,,,,,,,,,,
,ID124,100,359,TRUE,12/27/2023 13:11,EN,Lifestyle/General population,2-4 years,I only coach natural athletes,Yes,Yes,I focus on Calories,I coach Both,50,,,,12,No change,"Increased body fat, poor adherence to calorie intake",Get out of a plateau and address metabolic adaptations,Yes,,,,
,ID125,100,1198,TRUE,12/29/2023 9:43,EN,Lifestyle/General population,>8 years,I only coach natural athletes,Yes,Yes,I focus on Macronutrients,I coach Both,I use weekly changes of +150-300kcals ,,30-75,25-75,4,Decrease,Body image (dysmporphia),It’s difficult to determine the new caloric maintenance ,Yes,,,,
,ID126,50,80,FALSE,1/10/2024 17:03,EN,Lifestyle/General population,2-4 years,I only coach natural athletes,Yes,Yes,I focus on Macronutrients,I coach Both,,,,,,,,,,,,,
,ID127,100,445,TRUE,12/22/2023 11:48,EN,Lifestyle/General population,2-4 years,I only coach natural athletes,Yes,Yes,I focus on Macronutrients,I coach Both,50-100 calories week to week ,,Protein usually stays the same. I’ll increase carbs 5g-15g and fats anywhere between 5-10g. Usually depends ,Protein will stay the same.  And carbs and fats will go up 5-15 per week. ,6-10 weeks. Depends how well they adhere to the protocols ,Decrease,No real negative effects. Adherence is the hardest part because they want to go straight into a bulk and will get carried away ,Best way to maintain the fat loss. Also gives us a good idea of where their new maintenance calories is,Yes,,,,
